column,dtype,non_null
SEQN,float64,4951
WTSA2YR,float64,3073
LBXPFOA,float64,4951
LBDPFOAL,float64,4951
LBXPFOS,float64,4951
LBDPFOSL,float64,4951
LBXPFHS,float64,4951
LBDPFHSL,float64,4951
LBXEPAH,float64,4951
LBDEPAHL,float64,4951
LBXMPAH,float64,4951
LBDMPAHL,float64,4951
LBXPFDE,float64,4951
LBDPFDEL,float64,4951
LBXPFBS,float64,4951
LBDPFBSL,float64,4951
LBXPFHP,float64,4951
LBDPFHPL,float64,4951
LBXPFNA,float64,4951
LBDPFNAL,float64,4951
LBXPFSA,float64,4951
LBDPFSAL,float64,4951
LBXPFUA,float64,4951
LBDPFUAL,float64,4951
LBXPFDO,float64,4951
LBDPFDOL,float64,4951
cycle,str,4951
cycle_year,str,4951
WTSC2YR,float64,1878
PFOA,float64,4951
PFOS,float64,4951
PFHxS,float64,4951
PFNA,float64,4951
PFOS_detect,float64,4951
PFHxS_detect,float64,4951
PFNA_detect,float64,4951
age,float64,4951
sex,str,4951
race_ethnicity,str,4951
education,str,4618
pir,float64,4548
pregnant,str,1262
WTMEC2YR,float64,4951
SDMVPSU,float64,4951
SDMVSTRA,float64,4951
LBXSAL,float64,4951
LBXSCR,float64,4951
LBXSAPSI,float64,4950
LBXSC3SI,float64,4928
LBXCRP,float64,3353
LBXLYPCT,float64,4948
LBXMCVSI,float64,4951
LBXWBCSI,float64,4951
LBXGLU,float64,2401
LBDGLUSI,float64,2401
LBXGH,float64,4940
URXUMA,float64,4892
URXUMS,float64,4892
URXUCR,float64,4892
